股票代碼,即時股價
1316,13.6500
1338,27.6500
1342,106.0000
1402,31.3500
1436,118.0000
1474,12.4500
1514,98.3000
1526,22.8000
1532,30.1500
1533,39.3000
1536,60.0000
1560,303.5000
1586,27.6000
1589,36.7000
1595,45.7000
1599,-
1609,41.0000
1727,28.0000
1781,17.4000
1786,123.0000
1815,29.3000
1909,11.1500
2012,-
2034,20.2000
2061,18.0500
2063,34.0500
2065,51.1000
2066,87.6000
2104,12.7000
2201,50.0000
2208,15.0500
2228,93.8000
2230,117.0000
2231,102.0000
2236,109.5000
2250,129.5000
2338,49.0500
2368,223.0000
2383,614.0000
2427,25.3500
2436,55.1000
2439,106.0000
2442,25.0500
2461,19.4000
2462,25.8000
2464,72.7000
2476,84.6000
2486,104.0000
2497,58.3000
2548,111.0000
2610,26.0000
2641,17.8000
2727,224.5000
2732,95.2000
2756,74.1000
2887,17.4500
2905,16.1500
2906,17.0000
3006,60.6000
3013,142.5000
3016,42.9000
3023,267.0000
3033,34.1000
3088,128.0000
3092,27.0000
3122,29.1000
3128,27.9500
3138,106.0000
3141,71.0000
3207,86.2000
3209,33.1500
3257,58.3000
3268,21.0000
3272,26.6500
3290,32.6500
3303,49.1500
3305,65.9000
3310,91.5000
3312,51.8000
3313,15.4000
3322,16.7500
3323,36.5000
3324,634.0000
3346,32.5000
3357,114.0000
3362,200.5000
3376,214.0000
3388,68.4000
3413,309.0000
3416,166.5000
3465,60.1000
3479,90.1000
3483,138.5000
3484,52.7000
3491,453.0000
3516,23.3500
3518,22.3500
3522,23.6000
3526,264.5000
3548,166.0000
3564,71.2000
3583,377.0000
3587,247.0000
3591,23.9000
3605,62.7000
3625,18.4000
3645,67.4000
3663,63.0000
3680,480.0000
3687,94.3000
3689,90.3000
3691,70.5000
3701,37.6500
3702,71.0000
3707,44.2500
3708,85.9000
3713,-
4123,40.2500
4137,108.5000
4148,48.8000
4155,20.0500
4164,44.4500
4168,23.8000
4175,66.3000
4190,-
4416,75.9000
4438,98.6000
4538,17.9000
4540,50.6000
4542,85.1000
4549,183.0000
4555,39.0000
4564,21.6500
4566,71.0000
4572,152.0000
4580,92.5000
4739,54.5000
4744,21.8500
4747,70.3000
4906,32.7500
4916,33.0000
4968,200.0000
4971,97.4000
5009,48.4500
5011,20.1500
5209,169.0000
5212,59.2000
5213,30.6500
5225,130.5000
5230,25.1500
5244,47.8500
5245,33.8500
5263,143.0000
5284,176.5000
5288,202.0000
5306,127.0000
5309,39.0500
5321,57.7000
5351,32.3500
5388,126.0000
5434,290.0000
5450,17.5000
5457,51.8000
5543,-
5608,15.9000
5871,115.5000
5905,14.0000
6015,10.8000
6104,175.0000
6111,58.0000
6117,85.0000
6125,84.8000
6126,27.8000
6134,28.8500
6139,250.0000
6150,69.8000
6156,25.5000
6179,27.8000
6182,24.6500
6184,52.0000
6187,430.0000
6189,78.4000
6190,34.9000
6196,149.5000
6197,136.5000
6243,43.0000
6269,64.6000
6274,168.0000
6275,45.8000
6279,180.5000
6282,30.7000
6284,80.2000
6288,25.4500
6290,78.0000
6414,287.5000
6425,62.6000
6432,26.9000
6438,224.0000
6442,629.0000
6469,149.0000
6472,804.0000
6477,39.7000
6509,37.4500
6515,1225.0000
6546,136.0000
6547,49.0500
6552,36.3000
6584,146.0000
6585,155.0000
6591,49.9000
6593,-
6603,16.0500
6613,260.0000
6616,10.3000
6624,-
6629,112.5000
6641,-
6645,23.4000
6654,-
6664,224.5000
6668,51.1000
6670,328.5000
6680,87.9000
6706,104.0000
6715,152.0000
6753,108.0000
6761,91.4000
6768,136.0000
6796,87.2000
6804,28.1000
6806,114.0000
6823,66.0000
6830,170.5000
6835,40.9000
6840,50.0000
6863,289.0000
6870,218.5000
6873,192.0000
6874,90.3000
8027,81.8000
8050,66.8000
8091,121.0000
8092,-
8104,41.1500
8112,60.7000
8147,107.0000
8171,34.5500
8210,265.0000
8255,158.0000
8299,473.0000
8349,60.8000
8367,45.5000
8374,120.5000
8411,13.1500
8422,179.5000
8433,85.0000
8442,99.4000
8462,114.0000
8466,44.0000
8467,263.5000
8473,37.7000
8478,193.5000
8488,-
8927,58.6000
8938,74.8000
8996,293.5000
9802,140.5000
9921,146.5000
9933,39.6000
9935,29.5500
9939,161.5000
9941,114.0000
9958,160.5000
